K,Overlapping,Ranked
50,0.4749144458063,0.32536071408328243
60,0.5276501872360168,0.3432171952205191
70,0.5652986683101295,0.35417156901027946
80,0.6138459581160917,0.3689769903898634
90,0.6511823074393035,0.38176592543429777
100,0.6713129358609903,0.3864182433112116
110,0.706907616641276,0.3942010540236413
120,0.7497483561353978,0.4075301041131099
130,0.7756094849565393,0.41334133823958846
140,0.7994508587601271,0.41869347160028
150,0.8264719426239987,0.4264623721415678
