1,134524
2,32417
3,12377
4,5979
5,3420
6,2191
7,1429
8,1032
9,793
10,603
11,463
12,399
13,326
14,251
15,236
16,199
17,170
18,137
19,127
20,104
21,94
22,74
23,65
24,86
25,76
26,59
27,36
28,51
29,41
30,46
31,35
32,46
33,20
34,30
35,25
36,31
37,20
38,16
39,21
40,20
41,14
42,15
43,18
44,17
45,20
46,10
47,13
48,12
49,6
50,12
51,8
52,10
53,12
54,12
55,9
56,6
57,8
58,9
59,8
60,6
61,4
62,6
63,8
64,3
65,8
66,8
67,4
68,3
69,10
70,7
71,7
72,6
73,4
74,5
75,7
76,6
77,4
78,4
79,2
80,4
81,3
82,1
83,6
84,3
85,4
86,2
87,6
88,2
89,2
90,3
91,2
92,2
94,2
95,3
96,1
97,1
98,4
100,1
101,1
102,2
103,4
104,1
105,1
106,1
107,1
108,2
109,1
111,3
112,2
113,2
114,3
115,2
116,4
117,1
118,1
119,2
121,1
122,1
124,1
125,2
127,1
128,3
130,1
132,3
133,2
134,3
135,1
136,1
141,2
143,2
144,1
145,2
146,2
147,2
148,2
149,1
150,1
151,1
153,1
155,3
157,1
158,1
161,1
164,1
167,1
168,1
172,1
174,1
175,1
180,1
182,1
184,1
186,1
187,1
188,1
190,1
191,1
193,1
195,1
196,3
198,1
200,1
202,2
203,1
204,1
205,2
206,2
208,1
209,2
211,1
212,1
213,1
215,1
217,1
218,1
221,3
223,1
225,1
227,1
228,1
231,1
232,1
233,1
237,1
239,1
245,1
251,2
254,1
257,1
258,1
260,2
261,1
264,1
273,1
275,1
277,1
282,1
283,1
306,1
319,1
349,1
362,1
377,1
398,1
404,1
409,1
502,1
611,1
691,1
741,1
751,1
1172,1
14994,1
